Categoria,Producto,Precio,URL de la imagen,fecha_hora
Almacen,Yerba Mate Playadito Suave 1 Kg,,https://jumboargentinaio.vtexassets.com/arquivos/ids/711224-500-auto?v=637938633804770000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Galletitas Pepitos Con Chips De Chocolate 357g. Pack X 3 Unidades De 119g.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/804479-500-auto?v=638386293793430000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Aceite De Girasol Natura 1.5 L,,https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Atun Al Natural La Campagnola 170 Gr,,https://jumboargentinaio.vtexassets.com/arquivos/ids/703709-500-auto?v=637895325885100000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Yerba Mate De Campo La Merced 500 Gr,,https://jumboargentinaio.vtexassets.com/arquivos/ids/621304-500-auto?v=637473138269830000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Galletitas Oreo Rellenas Con Crema Sabor Original 118g. Menos Sodio.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/803301-500-auto?v=638379382759570000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Cafe Expresso Molido Tostado La Virginia 500 Gr,,https://jumboargentinaio.vtexassets.com/arquivos/ids/680335-500-auto?v=637744887545730000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto,,https://jumboargentinaio.vtexassets.com/arquivos/ids/589055-500-auto?v=637280470874970000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:08"
Almacen,Galletitas ópera Agrupadas 220 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/624009-500-auto?v=637502527403100000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Almacen,Pan Blanco Artesano Bimbo 500 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/799937-500-auto?v=638349573976600000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Almacen,Cafe Molido La Morenita 500 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/646160-500-auto?v=637582880104030000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Almacen,Atun En Aceite La Campagnola 170 Gr,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/703708-500-auto?v=637895325882100000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:13"
Carnes,Suprema De Pollo Granel Congelada.,$6.399,https://jumboargentinaio.vtexassets.com/arquivos/ids/672121-500-auto?v=637703409880230000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Cuarto Trasero De Pollo Granel Fresco,$2.729,https://jumboargentinaio.vtexassets.com/arquivos/ids/672122-500-auto?v=637703409896500000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Carre De Cerdo Con Hueso Fresco,"$3.479,25",https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Carne Vacuna Picada Enfriada E,$5.825,https://jumboargentinaio.vtexassets.com/arquivos/ids/672125-500-auto?v=637703409949200000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Carne Vacuna Picada Enfriada C,$3.299,https://jumboargentinaio.vtexassets.com/arquivos/ids/709504-500-auto?v=637926430006270000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Milanesa Nalga,$7.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/676761-500-auto?v=637728575944500000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Pechito De Cerdo Fresco,"$3.738,75",https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Picada Premium,$8.445,https://jumboargentinaio.vtexassets.com/arquivos/ids/672124-500-auto?v=637703409932000000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:25"
Carnes,Pollo Fresco Con Menudos,,https://jumboargentinaio.vtexassets.com/arquivos/ids/676545-500-auto?v=637727602033300000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:31"
Carnes,Lomo Premium,,https://jumboargentinaio.vtexassets.com/arquivos/ids/677571-500-auto?v=637733649883100000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:31"
Carnes,Peceto,,https://jumboargentinaio.vtexassets.com/arquivos/ids/672987-500-auto?v=637708918007230000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:31"
Carnes,Roast Beef Churrasco,,https://jumboargentinaio.vtexassets.com/arquivos/ids/672991-500-auto?v=637708918023200000&width=500&height=auto&aspect=true,"09/05/2024, 14:35:31"
bebidas,Gaseosa Pepsi  Black 1.5lt,"$1.004,25",https://jumboargentinaio.vtexassets.com/arquivos/ids/769354-500-auto?v=638120073786470000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,"Coca-cola Zero 1,75 Lt","$1.837,5",https://jumboargentinaio.vtexassets.com/arquivos/ids/799927-500-auto?v=638349573931070000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,"Coca-cola Zero 2,25 Lt",$2.325,https://jumboargentinaio.vtexassets.com/arquivos/ids/799920-500-auto?v=638349573899270000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,Agua Sin Gas Villavicencio 2 L,"$877,5",https://jumboargentinaio.vtexassets.com/arquivos/ids/798470-500-auto?v=638340185331300000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,Agua Villa Del Sur Sin Gas 6.2lt,$3.100,https://jumboargentinaio.vtexassets.com/arquivos/ids/786406-500-auto?v=638234014445730000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,Gaseosa Coca-cola Sabor Original 2.25 L,$2.325,https://jumboargentinaio.vtexassets.com/arquivos/ids/783070-500-auto?v=638206690815300000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,Agua Villa Del Sur Pet Sin Gas 2250 Ml,$1.100,https://jumboargentinaio.vtexassets.com/arquivos/ids/620318-500-auto?v=637466226602700000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,"Agua Sin Gas Villavicencio 1,5 L","$904,15",https://jumboargentinaio.vtexassets.com/arquivos/ids/795825-500-auto?v=638313501958270000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,Agua Villavicencio Con Gas 1.5lt,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/795829-500-auto?v=638313501977570000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
bebidas,Agua Glaciar Sin Gas Botella 2ltx1,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/544753-500-auto?v=637014360454900000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
bebidas,"Coca-cola Sabor Liviano 1,75 Lt",$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/799928-500-auto?v=638349573934800000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
bebidas,Cerveza Schneider Lager Rubia 710cc,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/579451-500-auto?v=637215672686300000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
hogar-y-textil,Reposera Metal Curva Cañoblanc Textbeige Outze,,https://jumboargentinaio.vtexassets.com/arquivos/ids/670280-500-auto?v=637692179138800000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Pergola Hierro Outzen 3x3 M,,https://jumboargentinaio.vtexassets.com/arquivos/ids/670226-500-auto?v=637692178972830000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Almohada Suavestar Viscoelastica Clasica 62x40,,https://jumboargentinaio.vtexassets.com/arquivos/ids/812728-500-auto?v=638440521608670000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Film Adherente Home Care 20 Mts X 28 Cm,,https://jumboargentinaio.vtexassets.com/arquivos/ids/676790-500-auto?v=637728576070130000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Silla Alta Acero Sannet - Azul.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/548192-500-auto?v=637043732671170000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Silla Mor Alta Acero Vs Colores Rayas 2002,,https://jumboargentinaio.vtexassets.com/arquivos/ids/809160-500-auto?v=638435433714900000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Caja Organizadora 20lt Transparente  Pv23krea,,https://jumboargentinaio.vtexassets.com/arquivos/ids/718863-500-auto?v=637985939635400000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Silla Reclinable 8 Pos. Acero Sannet - B.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/548545-500-auto?v=637045032556400000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
frutas-y-verduras,Banana Ecuador Por Kg,$1.699,https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Palta Hass Elegida Unidad,$799,https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Almendras Peladas Sueltas X Kg,$11.999,https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Cebolla Superior Por Kg,$1.699,https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Tomate Redondo Grande Por Kg,$4.799,https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Nueces Mariposa Sin Cascara Por Kg,$14.999,https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Tomate Cherry Por Kg,$7.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Pimiento Rojo Por Kg,$6.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
Quesos y Fiambres,Queso Cremoso La Paulina 1/4 Hma - Mínimo 1 Kg Mayorista.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/594326-500-auto?v=637305532902770000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Jamon Cocido Tripack Kg 1 Sob Minimo 800 Gr Mayorista,,https://jumboargentinaio.vtexassets.com/arquivos/ids/516235-500-auto?v=636840692090400000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Cremón Cremoso,,https://jumboargentinaio.vtexassets.com/arquivos/ids/782005-500-auto?v=638201073860900000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Jamon Cocido Cuisine & Co,,https://jumboargentinaio.vtexassets.com/arquivos/ids/807030-500-auto?v=638406058229170000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Clasico Casancrem 480g,,https://jumboargentinaio.vtexassets.com/arquivos/ids/792158-500-auto?v=638294386229570000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Barra Danbo Cuisine&co,,https://jumboargentinaio.vtexassets.com/arquivos/ids/807032-500-auto?v=638406058246670000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Parmesano La Paulina X Kg.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/596261-500-auto?v=637315026086830000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Barra Jumbo Tripack,,https://jumboargentinaio.vtexassets.com/arquivos/ids/464961-500-auto?v=636659280124300000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Lacteos,Leche La Serenisima Zerolact Bot 1l,"$1.841,74",https://jumboargentinaio.vtexassets.com/arquivos/ids/797316-500-auto?v=638332509824430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche La Serenisima Liviana Bot 1l,"$1.801,88",https://jumboargentinaio.vtexassets.com/arquivos/ids/797315-500-auto?v=638332509819430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Manteca Ls Bienestar Animal 200 G,"$2.680,89",https://jumboargentinaio.vtexassets.com/arquivos/ids/793456-500-auto?v=638303241666030000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat La Serenisima 1 - 1 Lt,"$1.717,85",https://jumboargentinaio.vtexassets.com/arquivos/ids/785290-500-auto?v=638223762282570000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche La Serenisima Entera Bot 1l,"$1.801,88",https://jumboargentinaio.vtexassets.com/arquivos/ids/797314-500-auto?v=638332509815370000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat Serenisima 3 - 1 Lt,"$1.717,85",https://jumboargentinaio.vtexassets.com/arquivos/ids/785291-500-auto?v=638223762290430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat La Serenísima Proteina 1lt,"$1.841,74",https://jumboargentinaio.vtexassets.com/arquivos/ids/637500-500-auto?v=637540537556030000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Dulce De Leche La Serenisima Clasico 400g,"$2.226,44",https://jumboargentinaio.vtexassets.com/arquivos/ids/787501-500-auto?v=638242545910500000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
perfumeria,Jabon Dove Original 90g,,https://jumboargentinaio.vtexassets.com/arquivos/ids/806743-500-auto?v=638403359110070000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Pasta Dental Sensitive Pro-alivio Real White 110 G,,https://jumboargentinaio.vtexassets.com/arquivos/ids/776731-500-auto?v=638170726221900000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Desodorante Dove Original Antitranspirante 150 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/793027-500-auto?v=638300434858670000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Shampoo Dove Reconstrucción 400 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/783652-500-auto?v=638214470977270000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Pasta Dental Colgate Sensitive Pro Alivio Inmediato Original 140 G,,https://jumboargentinaio.vtexassets.com/arquivos/ids/776748-500-auto?v=638170726280670000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Acondicionador Dove Reconstrucción Completa 400 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/781237-500-auto?v=638193299692670000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Shampoo Dove Ritual De Reparación Coco 750 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/781240-500-auto?v=638193299701000000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Desodorante Dove Invisible Dry 150ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/793036-500-auto?v=638300434891270000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
